bookID,title,authors,average_rating,isbn13,language_code,num_pages,publication_date,publisher
40286,First Meetings: In the Enderverse,Orson Scott Card,3.84,9781841493114,en-GB,228,2013,Little  Brown Young Readers
5918,Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes,Harry Graham/Frank J. Moore/D. Streamer,3.86,9780486402185,eng,64,2013,Dover Publications
38150,Orlando: A Biography: Film Screenplay,Sally Potter/Virginia Woolf,4.07,9780571172955,eng,75,2013,Faber & Faber
38664,Pedro Páramo,Juan Rulfo,4.05,9788433920706,spa,122,2013,Anagrama
4055,Soul Mates: Honouring the Mysteries of Love and Relationship,Thomas  Moore,3.99,9780060925758,eng,288,2013,Harper Perennial
10876,The Mutineer: Rants  Ravings  and Missives from the Mountaintop  1977-2005,Hunter S. Thompson,4.08,9780684873176,eng,752,2013,Simon & Schuster
26088,Superman: Secret Identity,Kurt Busiek/Stuart Immonen,4.24,9781401204518,eng,208,2013,DC Comics
31420,The Journals of Sylvia Plath,Sylvia Plath/Karen V. Kukil,4.31,9780571205219,eng,752,2013,Faber & Faber
43282,Happy Endings: Finishing the Edges of Your Quilts,Mimi Dietrich,4.25,9781564775009,en-US,80,2013,That Patchwork Place
30128,Lafcadio  the Lion Who Shot Back,Shel Silverstein,4.15,9780060256753,eng,112,2013,HarperCollins
8852,Macbeth,William Shakespeare,3.9,9780743477109,eng,249,2013,Simon  Schuster
7554,The Acme Novelty Datebook  Vol. 1  1986-1995,Chris Ware,4.17,9781896597669,eng,208,2013,Drawn and Quarterly
12528,An American Childhood,Annie Dillard,3.91,9780060915186,eng,255,2013,Harper Perennial
30590,Diary of a Man in Despair,Friedrich Reck-Malleczewen/Paul Rubens/Richard J. Evans,4.24,9781590175866,eng,264,2013,New York Review of Books
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,9780345538376,eng,1728,2012,Ballantine Books
40526,Time and Again (Time  #1),Jack Finney,3.96,9780575073609,eng,399,2012,Orion Publishing Group
4631,A Moveable Feast,Ernest Hemingway,4.04,9780099285045,eng,192,2012,Vintage
7772,Dr. Seuss's Sleep Book,Dr. Seuss,4.17,9780394800912,eng,58,2012,New York: Random House
19542,Where the Wild Things Are,Maurice Sendak,4.22,9780060254926,eng,40,2012,HarperCollins
9633,The Best of Ray Bradbury,Ray Bradbury/Dave Gibbons/Richard Corben/Mike Mignola,4.07,9780743474764,eng,162,2012,iBooks
29124,Mistress Masham's Repose,T.H. White/Fritz Eichenberg,3.93,9781590171035,en-US,260,2012,New York Review Children's Collection
38340,Syntactic Structures,Noam Chomsky/David W. Lightfoot,3.84,9783110172799,eng,135,2012,Walter de Gruyter
25781,The Iron Dragon's Daughter,Michael Swanwick,3.69,9780380972333,eng,424,2012,Avon Books
37299,Sharpe's Prey (Sharpe  #5),Bernard Cornwell,4.05,9780060084530,eng,288,2012,Harper Paperbacks
7966,Rebekah (Women of Genesis  #2),Orson Scott Card,3.84,9780765341280,eng,416,2012,Forge
